ts,open,high,low,close,volume,taker_buy_volume,taker_sell_volume,delta,ratio,cum_delta,taker_total,taker_ratio_to_volume,close_pct_change,price_change,price_rolling_max,price_rolling_min,delta_rolling_max,delta_rolling_min
2026-01-06 05:25:00,3238.85,3240.0,3231.49,3231.49,3431.233,1365.985,2065.248,-699.2630000000001,0.6614145129301662,78224.27199999998,3431.233,1.0,-0.22754919940968232,-7.360000000000127,3244.14,3231.49,2368.8590000000004,-5733.726000000001
2026-01-06 05:30:00,3231.49,3236.36,3230.02,3233.78,3864.418,1829.214,2035.204,-205.99,0.8987865589886812,78018.28199999998,3864.4179999999997,0.9999999999999999,0.07086514270508992,2.2900000000004184,3244.14,3231.49,2368.8590000000004,-5733.726000000001
2026-01-06 05:35:00,3233.78,3240.34,3232.72,3238.54,4755.9400000000005,3623.432,1132.508,2490.924,3.199475853592204,80509.20599999998,4755.94,0.9999999999999998,0.14719616053038287,4.7599999999997635,3244.14,3231.49,2490.924,-3962.9830000000006
2026-01-06 05:40:00,3238.54,3241.13,3238.53,3239.1,2725.822,1504.262,1221.56,282.702,1.2314270277350274,80791.90799999998,2725.822,1.0,0.01729174257536492,0.5599999999999454,3244.14,3231.49,2490.924,-3962.9830000000006
2026-01-06 05:45:00,3239.1,3243.26,3238.32,3243.26,4300.167,2812.718,1487.449,1325.2689999999998,1.8909676903208108,82117.17699999998,4300.1669999999995,0.9999999999999998,0.12843073693311613,4.160000000000309,3244.14,3231.49,2490.924,-3962.9830000000006
2026-01-06 05:50:00,3243.26,3243.27,3239.25,3240.13,5475.457,1174.82,4300.637,-3125.817,0.2731734856952586,78991.35999999999,5475.456999999999,0.9999999999999999,-0.09650783470952495,-3.130000000000109,3243.26,3231.49,2490.924,-3962.9830000000006
2026-01-06 05:55:00,3240.13,3240.14,3235.32,3236.89,6502.853,1540.347,4962.506,-3422.1590000000006,0.31039700506155554,75569.20099999999,6502.853,1.0,-0.0999959878153156,-3.2400000000002365,3243.26,3231.49,2490.924,-3422.1590000000006
2026-01-06 06:00:00,3236.9,3237.5,3233.42,3234.16,4431.645,1261.474,3170.171,-1908.697,0.3979198598435226,73660.50399999999,4431.6449999999995,0.9999999999999998,-0.0843402154537265,-2.7400000000002365,3243.26,3231.49,2490.924,-3422.1590000000006
2026-01-06 06:05:00,3234.16,3237.17,3233.62,3235.62,2591.444,1675.196,916.248,758.9479999999999,1.8283215897879175,74419.45199999999,2591.444,1.0,0.045143097434885426,1.4600000000000364,3243.26,3231.49,2490.924,-3422.1590000000006
2026-01-06 06:10:00,3235.62,3237.0,3233.33,3236.1,5061.6320000000005,1843.183,3218.449,-1375.266,0.5726929337702725,73044.18599999999,5061.632,0.9999999999999998,0.014834869360424996,0.4800000000000182,3243.26,3231.49,2490.924,-3422.1590000000006
2026-01-06 06:15:00,3236.1,3241.77,3235.82,3241.1,4417.131,2990.852,1426.279,1564.5729999999999,2.09696139394887,74608.75899999999,4417.130999999999,0.9999999999999998,0.15450696826426746,5.0,3243.26,3233.78,2490.924,-3422.1590000000006
2026-01-06 06:20:00,3241.1,3246.92,3241.03,3244.54,6117.827,4417.61,1700.217,2717.3929999999996,2.59826245708636,77326.15199999999,6117.826999999999,0.9999999999999999,0.10613680540556558,3.4400000000000546,3244.54,3234.16,2717.3929999999996,-3422.1590000000006
2026-01-06 06:25:00,3244.54,3244.8,3240.0,3240.0,2760.174,1259.619,1500.555,-240.93600000000015,0.8394354088987074,77085.21599999999,2760.174,1.0,-0.13992738570027807,-4.539999999999964,3244.54,3234.16,2717.3929999999996,-3422.1590000000006
2026-01-06 06:30:00,3240.01,3241.3,3239.0,3240.59,4096.374,1096.911,2999.463,-1902.5520000000001,0.3657024607404725,75182.66399999999,4096.374,1.0,0.01820987654321815,0.5799999999999272,3244.54,3234.16,2717.3929999999996,-3422.1590000000006
2026-01-06 06:35:00,3240.6,3246.0,3240.59,3245.99,1954.278,1128.73,825.548,303.182,1.367249390707748,75485.84599999999,1954.278,1.0,0.1666363223980616,5.389999999999873,3245.99,3234.16,2717.3929999999996,-3422.1590000000006
2026-01-06 06:40:00,3245.99,3248.0,3242.23,3243.82,3536.81,1374.349,2162.461,-788.1119999999999,0.635548571743028,74697.734,3536.8099999999995,0.9999999999999999,-0.06685171550127045,-2.169999999999618,3245.99,3234.16,2717.3929999999996,-3422.1590000000006
2026-01-06 06:45:00,3243.81,3244.47,3240.72,3240.75,1370.673,391.204,979.469,-588.2650000000001,0.399404166951685,74109.469,1370.673,1.0,-0.09464150291940143,-3.0599999999999454,3245.99,3234.16,2717.3929999999996,-1908.697
2026-01-06 06:50:00,3240.74,3241.47,3228.33,3237.8,13408.396999999999,3723.293,9685.104,-5961.811,0.38443500451827883,68147.658,13408.396999999999,1.0,-0.09102831134767397,-2.9399999999996,3245.99,3235.62,2717.3929999999996,-5961.811
2026-01-06 06:55:00,3237.8,3240.33,3235.93,3238.83,3653.159,1845.415,1807.744,37.67100000000005,1.020838680698152,68185.329,3653.1589999999997,0.9999999999999999,0.03181172401012233,1.0299999999997453,3245.99,3236.1,2717.3929999999996,-5961.811
2026-01-06 07:00:00,3238.83,3240.18,3232.0,3233.34,5800.393,1702.946,4097.447,-2394.501,0.4156114770978123,65790.828,5800.393,1.0,-0.1695056548197904,-5.489999999999782,3245.99,3233.34,2717.3929999999996,-5961.811
2026-01-06 07:05:00,3233.34,3235.0,3231.9,3234.65,2906.8849999999998,1494.257,1412.628,81.62900000000013,1.0577852060131896,65872.457,2906.885,1.0000000000000002,0.04051538038065683,1.3099999999999454,3245.99,3233.34,2717.3929999999996,-5961.811
2026-01-06 07:10:00,3234.65,3235.31,3230.68,3231.74,2869.242,1039.169,1830.073,-790.904,0.5678292614556906,65081.55299999999,2869.242,1.0,-0.08996336543367622,-2.9100000000003092,3245.99,3231.74,303.182,-5961.811
2026-01-06 07:15:00,3231.73,3236.44,3226.14,3228.8,11071.395,5495.559,5575.836,-80.27700000000004,0.985602697066413,65001.27599999999,11071.395,1.0,-0.09097266488020672,-2.9299999999998363,3245.99,3228.8,303.182,-5961.811
